"","item","profession","regular_price","silver_price","gold_price","iridium_price","category"
"1","Egg",NA,50,62,75,100,"animal product"
"2","Egg","Rancher",60,75,90,120,"animal product"
"3","Egg","Artisan",50,62,75,100,"animal product"
"4","Large Egg",NA,95,118,142,190,"animal product"
"5","Large Egg","Rancher",114,142,171,228,"animal product"
"6","Large Egg","Artisan",95,118,142,190,"animal product"
"7","Void Egg",NA,65,81,97,130,"animal product"
"8","Void Egg","Rancher",78,97,117,156,"animal product"
"9","Void Egg","Artisan",65,81,97,130,"animal product"
"10","Duck Egg",NA,95,118,142,190,"animal product"
"11","Duck Egg","Rancher",114,142,171,228,"animal product"
"12","Duck Egg","Artisan",95,118,142,190,"animal product"
"13","Wool",NA,340,425,510,680,"animal product"
"14","Wool","Rancher",408,510,612,816,"animal product"
"15","Wool","Artisan",340,425,510,680,"animal product"
"16","Dinosaur Egg",NA,350,437,525,700,"animal product"
"17","Dinosaur Egg","Rancher",350,437,525,700,"animal product"
"18","Dinosaur Egg","Artisan",350,437,525,700,"animal product"
"19","Dinosaur Egg","Treasure Appraisal Guide and  Artisan",1050,1311,1575,2100,"animal product"
"20","Golden Egg",NA,500,625,750,1000,"animal product"
"21","Golden Egg","Rancher",600,750,900,1200,"animal product"
"22","Golden Egg","Artisan",500,625,750,1000,"animal product"
"23","Ostrich Egg",NA,600,750,900,1200,"animal product"
"24","Ostrich Egg","Rancher",720,900,1080,1440,"animal product"
"25","Ostrich Egg","Artisan",600,750,900,1200,"animal product"
"26","Milk",NA,125,156,187,250,"animal product"
"27","Milk","Rancher",150,187,225,300,"animal product"
"28","Milk","Artisan",125,156,187,250,"animal product"
"29","Large Milk",NA,190,237,285,380,"animal product"
"30","Large Milk","Rancher",228,285,342,456,"animal product"
"31","Large Milk","Artisan",190,237,285,380,"animal product"
"32","Goat Milk",NA,225,281,337,450,"animal product"
"33","Goat Milk","Rancher",270,337,405,540,"animal product"
"34","Goat Milk","Artisan",225,281,337,450,"animal product"
"35","Large Goat Milk",NA,345,431,517,690,"animal product"
"36","Large Goat Milk","Rancher",414,517,621,828,"animal product"
"37","Large Goat Milk","Artisan",345,431,517,690,"animal product"
"38","Truffle",NA,625,781,937,1250,"animal product"
"39","Truffle","Rancher",625,781,937,1250,"animal product"
"40","Truffle","Artisan",625,781,937,1250,"animal product"
